Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL487154,,O=C(Nc1nc(NC(=O)c2ccccc2)n(-c2ccccc2)n1)c1ccccc1,IC50,'=',8300.0,nM
CHEMBL486541,,COc1ccccc1-c1c[nH]nc1-c1ccc(OCc2ccccc2F)cc1O,IC50,'=',27400.0,nM
CHEMBL2012519,,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,IC50,'=',950.0,nM
CHEMBL4856124,,C[C@H](C(=O)N[C@H](CO)c1cccc(N2CCN(C)CC2)n1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,IC50,'=',3.1,nM
CHEMBL370379,,Cn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,IC50,'=',1400.0,nM
CHEMBL380946,,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)[C@@H](C)c3ccc4ccccc4c3)c2C1,IC50,'=',380.0,nM
CHEMBL14762,SELICICLIB,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,IC50,'=',14000.0,nM
CHEMBL274064,SB-220025,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,IC50,'=',19000.0,nM
CHEMBL226471,,O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4F)c3)cc21,IC50,'=',4600.0,nM
CHEMBL383541,,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,'=',12850.0,nM
CHEMBL246089,,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCC(N)=O)cs4)cc3c21,IC50,'=',1500.0,nM
CHEMBL383264,,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,IC50,'=',910.0,nM
CHEMBL4103768,,Cn1c(-c2ccnc(NC3CCOCC3)n2)cc2c1CCN(Cc1ccccc1)C2=O,IC50,'=',69.0,nM
CHEMBL4079515,,Cn1c(-c2ccnc(NC3CCOCC3)n2)cc2c1CCNC2=O,IC50,'=',570.0,nM
CHEMBL4074437,,COCCN1CCc2[nH]c(-c3ccnc(NC4CCOCC4)n3)cc2C1=O,IC50,'=',18000.0,nM
CHEMBL4080944,,O=C1NCCc2[nH]c(-c3ccnc(NC4CCOCC4)n3)cc21,IC50,'=',960.0,nM
CHEMBL3544964,RAVOXERTINIB,Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1,IC50,'=',86.0,nM
CHEMBL4071576,,Cc1cccc(CN2C(=O)c3cc(-c4nc(Nc5ccnn5C)ncc4C)cn3C[C@H]2C)n1,IC50,'=',0.5,nM
CHEMBL3823030,,Cc1nn(C2CCN(C(=O)[C@@H](C)O)CC2)c(C)c1Nc1ncc(Cl)c(-c2cnn3ccccc23)n1,IC50,'=',600.0,nM
CHEMBL524266,,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,IC50,'=',846.0,nM
CHEMBL3800263,,O=C(NCc1ccccc1Cl)c1ccc2[nH]nc(-c3ccncc3)c2c1,IC50,'=',31.3,nM
CHEMBL3780632,,c1ccc(-c2cnc3cncc(Nc4ccc(N5CCOCC5)cc4)c3n2)cc1,IC50,'=',8430.0,nM
CHEMBL1909070,NAFENOPIN,CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,IC50,'=',815.1,nM
CHEMBL246088,,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCCN(C)C)cs4)cc3c21,IC50,'=',1300.0,nM
CHEMBL369976,,Nc1nn(CCO)c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,IC50,'=',5100.0,nM
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,'=',370.0,nM
CHEMBL4109419,,C[C@@H](NC(=O)Nc1cc2[nH]nc(NC(=O)OCCO)c2cn1)c1ccc(F)cc1,IC50,'=',5.3,nM
CHEMBL4110712,,CC(Nc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12)C(F)(F)F,IC50,'=',2.2,nM
CHEMBL4114278,,CCOc1n[nH]c2cc(NC(=O)N[C@@H]3CCC[C@H]3OC)ncc12,IC50,'=',103.1,nM
CHEMBL3976402,,COc1n[nH]c2cc(NC(=O)NC(c3ccc(F)cc3)C(C)(C)O)ncc12,IC50,'=',10.9,nM
CHEMBL4110699,,COC[C@@H](NC(=O)Nc1cc2[nH]nc(N3CC(OC)C3)c2cn1)c1ccccc1,IC50,'=',2295.0,nM
CHEMBL4110080,,CNc1n[nH]c2cc(NC(=O)N[C@H](COC)c3ccc(F)cc3)ncc12,IC50,'=',5.25,nM
CHEMBL4111860,,COC[C@@H](NC(=O)Nc1cc2[nH]nc(N3CCO[C@H](C)C3)c2cn1)c1ccccc1,IC50,'=',0.63,nM
CHEMBL4111617,,COCc1nc(NC(=O)N[C@H](C)c2ccccc2)cc2[nH]nc(N)c12,IC50,'=',1.5,nM
CHEMBL4114934,,COC[C@@H](NC(=O)Nc1cc2[nH]nc(N[C@@H]3CCOC3)c2cn1)c1ccccc1,IC50,'=',0.8,nM
CHEMBL4112310,,C[C@@H](NC(=O)Nc1cc2[nH]nc(N3CC(O)C3)c2cn1)c1ccccc1,IC50,'=',9.7,nM
CHEMBL3971505,,CC(C)(O)[C@@H](NC(=O)Nc1cc2[nH]nc(N3CCC3)c2c(CO)n1)c1ccc(F)cc1,IC50,'=',0.9,nM
CHEMBL3969660,,CC(C)(O)[C@@H](NC(=O)Nc1cc2[nH]nc(NC(=O)N3CC(F)(F)C3)c2cn1)c1ccc(F)cc1,IC50,'=',0.4,nM
CHEMBL4112138,,C[C@@H](NC(=O)Nc1cc2[nH]nc(NC(=O)C3CCC3)c2cn1)c1ccccc1,IC50,'=',0.5,nM
CHEMBL4109852,,C[C@@H](NC(=O)Nc1cc2[nH]nc(NC(=O)Cc3ccccc3)c2cn1)c1ccccc1,IC50,'=',0.6,nM
CHEMBL4113133,,C[C@@H](NC(=O)Nc1cc2[nH]nc(NC(=O)CN(C)C)c2cn1)c1ccccc1,IC50,'=',27.8,nM
CHEMBL3909086,,C[C@@H](CO)Nc1ncc2c(n1)CN(C(=O)NCc1cccc3cc[nH]c13)CC2,IC50,'=',411.0,nM
CHEMBL4111086,,C[C@@H](NC(=O)Nc1cc2[nH]nc(N[C@H](C)C(F)F)c2cn1)c1ccccc1,IC50,'=',2.9,nM
CHEMBL4111973,,C[C@@H](NC(=O)Nc1cc2[nH]nc(OCc3cccnc3)c2cn1)c1ccc(F)cc1,IC50,'=',1.7,nM
